Track Name,Artists,Genres
He Ao He Pō,Mose; Chloe Palmer; Franko Heke,
Pyaar,TroyBoi,edm trap
Purify,Tropo,
Dancing in the Dust,Tropo,
Pantano Místico,Tropo,
A Theory of Love,Kumea Sound,
UOYMAI,Kumea Sound,
Sidereal,Luca Francini,chillstep
Rain,Bythewvve,chillstep
Jai Ambe,Sati Ethnica,
Samas,Pink Noisy,
Arpeggio (Interlude),QUIX,dubstep; edm trap; future bass
Ok,David Starfire,
Return to Source - Orenda Remix,Poranguí; Liquid Bloom; Orenda,
Dirty Bump - Equanimous Remix,Balkan Bump; Equanimous; Dirtwire,
Maori Beat,Hilight Tribe,psytrance; trance
Call to the Quetzal - Savej Remix,Deya Dova; Savej,
Wings of Serenity,Fred Westra,
Mala Hierba,Buddha-Bar; Jose Solano,downtempo; lounge; organic house; tribal house
We Will Rock You,Spanish Flow,bossa nova; lounge
Maneye,Jose Solano,downtempo; organic house; tribal house
NeoPoly (Re-Imagined),Phoria,
Arabi Noon,Symphonixx,
Adyge Laparysa - Dhol Remix,Kazus,g-house
Wakan Tanka,Ben Holt; ALCHEMYSOUND,
Orca,Iyakuh; VOLO,
Prelude for Siddhartha,Ram Dass; Shannon Hayden,
Winds of Change,Iyakuh; VOLO,
Ushi,Iyakuh,
Noya,Iyakuh,
Trust In My Path,KOSMA MUSIC; Sonja Morgenegg,
Morning Light,Iyakuh,
Clearing,Iyakuh; Maywa,
Pamparios,Iyakuh; Jakare; Enrique Ramirez,
Calling My Spirit,KOSMA MUSIC,
El Brillo - Radio Edit,MESTIZA,afro house; flamenco; latin house; tribal house
Crîtto de lâ Nabahâ,Califato ¾,flamenco
Nisaba,Jarl Flamar,downtempo; organic house; tribal house
Tell Asmar - Erhan Yılmaz Remix,Jarl Flamar; Erhan Yılmaz,downtempo; indie dance; organic house; tribal house
Hold On (Citizen Deep Remix),Leo Guardo; Citizen Deep; Sobantwana,3 step; afro house; afro tech; deep house; gqom; tribal house
Mamantra - Desert Dwellers Remix,Balkan Bump; Desert Dwellers,downtempo
Moon of Africa - Piccaya Remix,Wassim Younes; De La Troupe; Piccaya,downtempo; organic house; tribal house
Voyage Voyage,Francis Mercier; Mont Rouge; Coco,afro house; afro tech; house; latin house; melodic house; tribal house
Mwaki - Major Lazer Remix,Zerb; Sofiya Nzau; Major Lazer,afro house; moombahton
Vamonos,Moojo; Gabsy,afro house; afro tech; latin house; tribal house
Desperado (feat. Eribertho Cruz) - Vocal Mix Edit,ARKADYAN; Demayä; Moojo; Eribertho Cruz,afro house; afro tech; latin house; organic house; tribal house
Shallow Water,Yehezkel Raz; Sivan Talmor,
Dust - Lalinea remix,Yehezkel Raz; Lalinea,
(217) Miles - NUEQ rework,Yehezkel Raz; NUEQ,bass music
Kopru Ortas,Jacob Groening,downtempo; organic house; tribal house
Bakhu,Sabo; Hot Oasis,downtempo; electrocumbia; organic house; tribal house
Desert Breeze,Fred Westra,
Flight of Birds,Bedouin,melodic house; organic house; tribal house
Cairo's Scent,Suray; Obeidmusic,
Sing Like the Birds,Mollie Mendoza; Sam Garrett; Iyakuh; Mose,
Ancient Dreams - Tahüm Remix,DJ Taz Rashid; Tahüm,
Yee Holla,Scott Nice,
Birds in Space,Jose Solano,downtempo; organic house; tribal house
Ladyship,Deka Sul; The Polish Ambassador,
Astral Flowers,Fabiano do Nascimento; Sam Gendel,ambient jazz; brazilian jazz; experimental jazz; indie jazz; nu jazz
Rabat - Nyrus Remix,Balkan Bump; Nyrus,
Courtyard Mahal,DJ Taz Rashid,
Lonely Nights,Joakinn Luke; Adassiya; Ra (MX),afro house; afro tech; melodic house; melodic techno; organic house
Senegal,Aleceo,downtempo; organic house
Yulunga (Spirit Dance),Dead Can Dance,cold wave; darkwave; deathrock; gothic rock; neoclassical; neofolk; new age; post-punk
TRUTH,KR3TURE; Truth Now,
Brighter Tomorrow,Manic Focus; Michal Menert,glitch
Clean Slate,Activation; The Great Medicine Show; Equanimous,
An Analog Guy in a Digital World,Martin Roth,synthwave
Analogy,Martin Roth,synthwave
Al Fuego,Monblume; Alex Serra,
